Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,ALL,0.8811764705882353,0.880046998504593,0.488328664799253,0.8806113723813597,8239,1111,1123,17041,5771349141636,01:36:11
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,CLASSES,1.0,0.2857142857142857,0.0,0.4444444444444445,4,0,10,21,-,-
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,PROPERTIES,1.0,0.9245283018867925,0.9245283018867925,0.9607843137254902,49,0,4,88,-,-
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,INSTANCES,0.8804990857265784,0.8806885422270038,0.47955747955747957,0.8805938037865749,8186,1111,1109,16932,-,-
knowledgegraph,starwars-swtor,SEALS Matcher,ALL,0.9224806201550387,0.9160251924422673,0.5265306122448979,0.9192415730337079,1309,110,120,3582,1690713636370,00:28:10
knowledgegraph,starwars-swtor,SEALS Matcher,CLASSES,1.0,0.8,0.0,0.888888888888889,12,0,3,28,-,-
knowledgegraph,starwars-swtor,SEALS Matcher,PROPERTIES,1.0,0.8928571428571429,0.8928571428571429,0.9433962264150945,50,0,6,103,-,-
knowledgegraph,starwars-swtor,SEALS Matcher,INSTANCES,0.9189388356669123,0.9182621502209131,0.42473118279569894,0.9186003683241252,1247,110,111,3451,-,-
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,ALL,0.6805728518057285,0.656062424969988,0.21703296703296704,0.6680929095354524,1093,513,573,11807,2356015272282,00:39:16
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,CLASSES,1.0,1.0,0.0,1.0,2,0,0,8,-,-
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,PROPERTIES,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,10,0,1,15,-,-
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,INSTANCES,0.678168130489335,0.6539624924379915,0.20641562064156208,0.6658453957499231,1081,513,572,11784,-,-
knowledgegraph,starwars-swg,SEALS Matcher,ALL,0.8556891766882516,0.8251561106155219,0.5534441805225653,0.8401453224341509,925,156,196,4052,1619903914583,00:26:59
knowledgegraph,starwars-swg,SEALS Matcher,CLASSES,1.0,0.6,0.0,0.7499999999999999,3,0,2,10,-,-
knowledgegraph,starwars-swg,SEALS Matcher,PROPERTIES,1.0,1.0,1.0,1.0,20,0,0,42,-,-
knowledgegraph,starwars-swg,SEALS Matcher,INSTANCES,0.8525519848771267,0.822992700729927,0.5338345864661654,0.8375116063138347,902,156,194,4000,-,-
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,ALL,0.9498003422703936,0.9359190556492412,0.6455696202531646,0.9428086070215176,1665,88,114,5226,1615023264587,00:26:55
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,CLASSES,1.0,0.5384615384615384,0.0,0.7000000000000001,7,0,6,24,-,-
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,PROPERTIES,0.9743589743589743,0.926829268292683,0.926829268292683,0.9500000000000001,38,1,3,70,-,-
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,INSTANCES,0.9490333919156415,0.9391304347826087,0.6171003717472119,0.9440559440559441,1620,87,105,5132,-,-
